repository_language,cntlang
JavaScript,454980
Java,341084
Ruby,324761
Python,261144
PHP,245478
C++,163460
C,161612
Shell,75072
C#,60038
Objective-C,45592
VimL,41955
Perl,36565
Scala,20419
Emacs Lisp,16670
CoffeeScript,16164
Haskell,16062
Clojure,11780
Lua,11209
ActionScript,8784
Go,8087
Erlang,7944
Groovy,7274
R,6842
Matlab,6826
Puppet,5128
OCaml,4190
D,3608
Common Lisp,3115
Delphi,2664
Assembly,2612
Scheme,2250
Arduino,1801
Rust,1759
Prolog,1514
HaXe,1496
Racket,1480
VHDL,1456
FORTRAN,1451
Verilog,1447
ColdFusion,1312
Visual Basic,1201
F#,955
Standard ML,770
Tcl,762
ASP,756
Objective-J,721
Dart,672
Vala,612
PowerShell,526
Smalltalk,508
DCPU-16 ASM,488
Powershell,475
Elixir,474
Eiffel,449
Scilab,403
AutoHotkey,400
SuperCollider,400
Ada,372
Coq,359
Pure Data,236
OpenEdge ABL,232
Apex,214
XQuery,198
Julia,161
Parrot,160
Factor,155
Nemerle,154
Io,124
Dylan,103
ooc,98
Kotlin,94
Modelica,93
Turing,90
Boo,89
Nimrod,80
Ioke,76
Fancy,71
Arc,64
Max/MSP,63
Gosu,62
Opa,61
Rebol,44
Logtalk,21
Bro,14
Augeas,10
Fantom,9
Mirah,9
Self,7
DCPU-16 Assembly,2
Nu,1
